ID;Identifiant Autolib';Rue;Code postal;Ville;Coordonnées geo;Emplacement;Autolib';Tiers;Abri
75117-24;Paris/Courcelles/210;210 rue de Courcelles;75017;Paris;48.8867348, 2.2955406;Voirie;4;0;0
75117-38;Paris/Georges Berger/2;2 Rue Georges Berger;75017;Paris;48.88093, 2.309852;Voirie;4;1;0
75118-04;Paris/Poteau/40;40 rue du Poteau;75018;Paris;48.8945152, 2.3412577;Voirie;4;0;0
75118-10;Paris/Marcadet/150;150 rue Marcadet;75018;Paris;48.8913286, 2.3385496;Voirie;4;1;0
75118-11;Paris/Championnet/162;162 rue Championnet;75018;Paris;48.8948847, 2.3355224;Voirie;4;1;0
75118-12;Paris/Polonceau/19;19 Rue Polonceau;75018;Paris;48.8856198, 2.3531328;Voirie;4;0;0
75118-20;Paris/Rachel/1;1 avenue Rachel;75018;Paris;48.8844148, 2.3305461;Voirie;4;1;0
75118-31;Paris/Évangile/45;45 rue de l'Évangile;75018;Paris;48.8945881, 2.3668072;Voirie;4;1;0
75118-35;Paris/Custine/17;17 Rue Custine;75018;Paris;48.8883596, 2.3480345;Voirie;4;1;0
75119-06;Paris/Flandre/61;61 Avenue de Flandre;75019;Paris;48.888195, 2.3730799;Voirie;4;1;0
75119-21;Paris/Botzaris/16;16 rue de Botzaris;75019;Paris;48.8768667, 2.3811899;Voirie;4;1;0
75119-26;Paris/Sept Arpents/9;9 Rue des Sept Arpents;75019;Paris;48.88947, 2.398229;Voirie;4;1;0
75119-28;Paris/Porte d'Aubervilliers/10;10 avenue de la Porte d'Aubervilliers;75019;Paris;48.899335, 2.371162;Voirie;4;0;0
75119-30;Paris/Bois/1;1 rue des Bois;75019;Paris;48.8780077, 2.3966042;Voirie;4;0;0
75120-05;Paris/Gambetta/161;161 Avenue Gambetta;75020;Paris;48.87083, 2.403597;Voirie;4;0;0
75120-08;Paris/Ménilmontant/122;122 Rue Ménilmontant;75020;Paris;48.8699519, 2.3952568;Voirie;4;0;0
75120-10;Paris/Guébriant/6;6 rue Guébriant;75020;Paris;48.8730881, 2.4092069;Voirie;4;1;0
75120-18;Paris/Monte Cristo/24;24 rue Monte Cristo;75020;Paris;48.8552253, 2.3984912;Voirie;4;1;0
75111-01;Paris/Richard Lenoir/8;8 Boulevard Richard Lenoir;75011;Paris;48.8545026, 2.370183;Voirie;4;0;0
75111-02;Paris/Parmentier/2;2 avenue Parmentier;75011;Paris;48.8584385, 2.3800903;Voirie;4;1;1
75111-13;Paris/Ledru Rollin/155;155 Avenue Ledru Rollin;75011;Paris;48.8553267, 2.3783382;Voirie;4;1;0
75111-22;Paris/Philippe Auguste/126;126 Avenue Philippe Auguste;75011;Paris;48.8577957, 2.390264;Voirie;4;0;0
75112-03;Paris/Bastille/50;50 boulevard de la Bastille;75012;Paris;48.8515769, 2.369445;Voirie;4;1;0
75112-12;Paris/Villiot/20;20 Rue Villiot;75012;Paris;48.841876, 2.375976;Voirie;4;0;1
75112-16;Paris/Reuilly/103;103 bis rue de Reuilly;75012;Paris;48.84283, 2.39217;Voirie;4;0;0
75112-17;Paris/Henard/3;3 Rue Henard;75012;Paris;48.84154, 2.389211;Voirie;4;1;0
75112-21;Paris/Soult/137;137 boulevard Soult;75012;Paris;48.8461408, 2.4104799;Voirie;4;0;0
75112-23;Paris/Saint-Mandé/48;48 Avenue de Saint-Mandé;75012;Paris;48.8449828, 2.4019623;Voirie;4;0;0
75112-27;Paris/Arnold Netter/10;10 Avenue du Docteur Arnold Netter;75012;Paris;48.8415951, 2.4050137;Voirie;4;1;0
75112-28;Paris/Laperrine/15;15 avenue du Général Laperrine;75012;Paris;48.8345778, 2.4076458;Voirie;4;0;0
75112-35;Paris/Émile Laurent/1;1 avenue Émile Laurent;75012;Paris;48.84071, 2.409631;Voirie;4;0;0
75112-36;Paris/Nation/26;26 Place de la Nation;75012;Paris;48.84756, 2.397014;Voirie;4;0;0
75113-18;Paris/Caillaux/24;24 rue Caillaux;75013;Paris;48.82223, 2.358905;Voirie;4;1;0
75113-21;Paris/Ivry/58;58 Avenue D'Ivry;75013;Paris;48.824068, 2.364308;Voirie;4;0;0
75113-27;Paris/Jeanne D'Arc/157;157 rue Jeanne D'Arc;75013;Paris;48.8365583, 2.3592348;Voirie;4;0;0
75113-30;Paris/Fernand Braudel/21;21 rue Fernand Braudel;75013;Paris;48.8362302, 2.3724643;Voirie;4;0;0
75113-32;Paris/Chevaleret/79;79 rue du Chevaleret;75013;Paris;48.82881, 2.376281;Voirie;4;0;0
75114-04;Paris/Boulard/1;1 rue Boulard;75014;Paris;48.8348549, 2.3297831;Voirie;4;0;0
75114-07;Paris/Didot/41;41 rue Didot;75014;Paris;48.8318566, 2.3202972;Voirie;4;0;0
75114-09;Paris/Pernety/46;46 Rue Pernety;75014;Paris;48.8343392, 2.3178674;Voirie;4;0;0
