"url";"name";"type";"address";"gps"
"http://www.restopolitan.com/en/restaurant/paris-10eme-456/mazzucco-304374.html";"Mazzucco";"Italian";"7, rue d'Enghien, 75010 ,Paris";"48.871656/2.3528083"
"http://www.restopolitan.com/en/restaurant/paris-15eme-461/sagar-matha-302521.html";"Sagar Matha";"Indian";"2, rue François Mouthon, 75015 ,Paris";"48.8389593/2.2914833"
"http://www.restopolitan.com/en/restaurant/paris-7eme-453/le-den-300366.html";"Le Den";"Italian";"167, rue de Grenelle, 75007 ,Paris";"48.857498/2.3055382"
"http://www.restopolitan.com/en/restaurant/paris-11eme-457/le-rosmarino-303439.html";"Le Rosmarino";"French";"174 bis Boulevard Voltaire, 75011 ,Paris";"48.8575917/2.3805149"
"http://www.restopolitan.com/en/restaurant/paris-13eme-459/pizza-princesse-304066.html";"Pizza Princesse";"Italian";"40, rue de Tolbiac, 75013 ,Paris";"48.8281175/2.3720106"
"http://www.restopolitan.com/en/restaurant/mantes-la-ville-1392/la-villa-304197.html";"La Villa";"Chinese";"82, boulevard Roger Salengro, 78200 Mantes La Ville";NA
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/makassar-lounge-et-restaurant-29578.html";"Makassar Lounge & Restaurant";"French";"39, avenue de Wagram, 75017 ,Paris";"48.8769976/2.2971047"
"http://www.restopolitan.com/en/restaurant/paris-13eme-459/bellacci-303505.html";"Bellacci";"Italian";"34 avenue Pierre Mendès France, 75013 ,Paris";"48.838514/2.3704605"
"http://www.restopolitan.com/en/restaurant/boulogne-billancourt-374/aoc-radisson-blu-303341.html";"AOC Radisson Blu";"Bistrot Gourmand";"Hôtel Radisson Blu - 33, avenue Édouard Vaillant, 92100 Boulogne Billancourt";NA
"http://www.restopolitan.com/en/restaurant/paris-5eme-451/auberge-notre-dame-300209.html";"Auberge Notre-Dame";"Sea Food";"69, quai de la Tournelle, 75005 ,Paris";"48.8512162/2.35052"
"http://www.restopolitan.com/en/restaurant/paris-3eme-449/khatag-303514.html";"Khatag";"Tibetan";"68 rue Quincampoix, 75003 ,Paris";"48.8619134/2.3509953"
