"url";"name";"metro";"price";"address";"gps"
"http://www.hotelaparis.com/hotel-charme-paris/louvre-tuileries/mandarin-oriental.html";"Hôtel Le Mandarin Oriental";"Concorde";"975 €";"251 rue Saint-Honore, 75001 Paris";"48.867213 / 2.32691"
"http://www.hotelaparis.com/hotel-charme-paris/madeleine/banke-hotel.html";"Banke Hôtel";"Chaussée d'Antin (La Fayette)";"211 €";"20 Rue la Fayette, 75009 Paris";"48.873718 / 2.33622"
"http://www.hotelaparis.com/hotel-charme-paris/madeleine/hotel-hyatt-regency-madeleine.html";"Hôtel Hyatt Paris Madeleine";"Saint-Augustin";"327 €";"24 boulevard Malesherbes, 75008 Paris";"48.872869 / 2.321358"
"http://www.hotelaparis.com/hotel-charme-paris/madeleine/hotel-w-opera.html";"Hotel W Opera";"Chaussée d'Antin (La Fayette)";"308 €";"4 Rue Meyerbeer, 75009 Paris";"48.871857 / 2.333537"
"http://www.hotelaparis.com/hotel-charme-paris/madeleine/le-burgundy.html";"Hôtel Le Burgundy";"Madeleine";"410 €";"8 rue Duphot, 75001 Paris";"48.868004 / 2.325751"
"http://www.hotelaparis.com/hotel-charme-paris/marais/les-bains.html";"Hôtel Les Bains";"Etienne Marcel";"294 €";"7, rue Bourg l'Abbé, 75003 Paris";"48.863951739206 / 2.351977448479"
"http://www.hotelaparis.com/hotel-charme-paris/opera/hotel-park-hyatt-vendome.html";"Hôtel Park Hyatt Vendome";"Opéra";"710 €";"5 rue de la Paix, 75002 Paris";"48.868678 / 2.330561"
"http://www.hotelaparis.com/hotel-charme-paris/opera/hotel-scribe-by-sofitel.html";"Hotel Scribe by Sofitel";"Opéra";"272 €";"1 rue Scribe, 75009 Paris";"48.870262 / 2.329999"
"http://www.hotelaparis.com/hotel-charme-paris/place-de-clichy/maison-souquet.html";"Hôtel La Maison Souquet";"Blanche";"340 €";"10, rue de Bruxelles, 75009 Paris";"48.883641130348 / 2.331430746652"
"http://www.hotelaparis.com/hotel-charme-paris/porte-auteuil/mgallery-molitor.html";"Hôtel MGallery Molitor";"Porte d'Auteuil";"175 €";"2 avenue de la porte Molitor, 75016 Paris";"48.845203 / 2.254531"
"http://www.hotelaparis.com/hotel-charme-paris/saint-germain-des-pres/hotel-bel-ami.html";"Hôtel Bel Ami";"Saint-Germain des Prés";"255 €";"7-11, rue Saint-Benoît , 75006 Paris";"48.85496 / 2.333218"
"http://www.hotelaparis.com/hotel-charme-paris/saint-germain-des-pres/hotel-montalembert.html";"Hôtel Montalembert";"Musée d'Orsay";"299 €";"3 rue de Montalembert, 75007 Paris";"48.8575071 / 2.32856"
"http://www.hotelaparis.com/hotel-charme-paris/saint-germain-des-pres/relais-christine.html";"Hôtel Relais Christine";"Odéon";"299 €";"3, rue Christine, 75006 Paris";"48.854408898341 / 2.340084761327"
"http://www.hotelaparis.com/hotel-charme-paris/tour-eiffel-trocadero/hotel-baltimore-paris-mgallery-collection.html";"Hôtel Baltimore Paris - MGallery Collection";"Boissière";"275 €";"88 Bis Avenue Kléber, 75016 Paris";"48.8665448 / 2.2896104"
"http://www.hotelaparis.com/hotel-charme-paris/tour-eiffel-trocadero/hotel-juliana-paris.html";"Hotel Juliana Paris";"Pont de l'Alma";"288 €";"10-12 rue Cognacq Jay, 75007 Paris";"48.861795616523 / 2.3042619"
"http://www.hotelaparis.com/hotel-charme-paris/tour-eiffel-trocadero/hotel-shangri-la.html";"Hôtel Shangri-La";"Iéna";"845 €";"10 avenue d'Iéna, 75016 Paris";"48.863526 / 2.292843"
"http://www.hotelaparis.com/hotel-charme-paris/tour-eiffel-trocadero/le-cinq-codet.html";"Hôtel Le Cinq Codet";"Ecole Militaire";"279 €";"5 rue Louis Codet, 75007 Paris";"48.855016689876 / 2.308404748479"
