"url";"name";"address";"district";"gps"
"http://www.paris-soiree.fr/discotheque-le_depot_-231";"Le dépôt";"10 rue Ours";3;NA
"http://www.paris-soiree.fr/discotheque-l_anthracite-75";"L'Anthracite";"20 rue de la Reynie";4;"48.8600641/2.3496393"
"http://www.paris-soiree.fr/discotheque-le_scarron-76";"Le Scarron";"3 Rue Geoffroy L'angevin";4;"48.8605552/2.3544304"
"http://www.paris-soiree.fr/discotheque-mixer_bar-77";"Mixer Bar";"23 rue Sainte Croix de la Bretonnerie";4;"48.8583514/2.3555825"
"http://www.paris-soiree.fr/discotheque-the_pure_bar-233";"The Pure Bar";"4 rue Caron";4;"48.8550361/2.362647"
"http://www.paris-soiree.fr/discotheque-the_auld_alliance_-234";"The Auld Alliance";"80 rue François Miron";4;"48.855354/2.3591217"
"http://www.paris-soiree.fr/discotheque-les_souffleurs_-239";"Les souffleurs";"7 rue de la Verrerie";4;"48.8570994/2.3551168"
"http://www.paris-soiree.fr/discotheque-okawa-241";"Okawa";"40, rue Vieille du Temple";4;"48.8578391/2.3578675"
"http://www.paris-soiree.fr/discotheque-flag_cafe_-242";"Flag Café";"5 boulevard Beaumarchais";4;"48.854205/2.3686256"
"http://www.paris-soiree.fr/discotheque-chez_felix-78";"Chez Félix";"23 rue Mouffetard";5;"48.8441554/2.3493669"
"http://www.paris-soiree.fr/discotheque-le_bateau_ivre_-266";"Le Bateau Ivre";"40 rue Descartes";5;"48.8456688/2.3490989"
"http://www.paris-soiree.fr/discotheque-le_crocodile-263";"Le crocodile";"6 rue Royer Collard";5;"48.8457328/2.3421373"
"http://www.paris-soiree.fr/discotheque-le_pub_saint_michel_-261";"Le pub saint michel";"19 quai St Michel";5;"48.8533542/2.3454662"
"http://www.paris-soiree.fr/discotheque-le_pub_saint_hilaire_-258";"Le pub saint hilaire";"2 rue Valette";5;"48.8480822/2.3469613"
"http://www.paris-soiree.fr/discotheque-le_requin_chagrin_-253";"Le requin chagrin";"10 rue Mouffetard";5;"48.8445916/2.3491648"
"http://www.paris-soiree.fr/discotheque-pop_corner-252";"Pop Corner";"16 rue Bernardins";5;NA
"http://www.paris-soiree.fr/discotheque-the_shebeen-250";"The Shebeen";"16 rue Pot de Fer";5;NA
"http://www.paris-soiree.fr/discotheque-taverne_de_cluny-249";"Taverne de Cluny";"51 rue Harpe";5;"48.8527645/2.3446089"
"http://www.paris-soiree.fr/discotheque-teddy_s_bar_-247";"Teddy's Bar";"3 rue Thouin";5;"48.8450006/2.3494675"
"http://www.paris-soiree.fr/discotheque-the_bombardier_-245";"The Bombardier";"2 place panthéon";5;"48.8469773/2.34435773332524"
"http://www.paris-soiree.fr/discotheque-le_theoz_bar_-244";"Le Théoz Bar";"26 rue Parcheminerie";5;"48.8514415/2.3457235"
"http://www.paris-soiree.fr/discotheque-babylon_club-200";"Babylon Club";"8, rue des Anglais";5;"48.8507496/2.3476393"
"http://www.paris-soiree.fr/discotheque-cap_rouge-191";"Cap Rouge";"23 rue Mouffetard";5;"48.8441554/2.3493669"
"http://www.paris-soiree.fr/discotheque-le_saint-81";"Le Saint";"7 Rue Saint-Séverin";5;"48.8524008/2.3451624"
"http://www.paris-soiree.fr/discotheque-le_romeo-80";"Le Romeo";"71 boulevard Saint-Germain";5;"48.8507653/2.3451526"
"http://www.paris-soiree.fr/discotheque-la_pomme_d__eve-79";"La Pomme d' Eve";"1 rue Laplace";5;"41.702506/2.8491893"
"http://www.paris-soiree.fr/discotheque-hurling_pub-268";"Hurling Pub";"8 rue Descartes";5;"48.8471401/2.3485991"
"http://www.paris-soiree.fr/discotheque-les_quatre_vents-83";"Les Quatre Vents";"18 rue des quatre vents";6;"48.8517937/2.3375388"
"http://www.paris-soiree.fr/discotheque-le_pousse_au_crime-278";"Le pousse au crime";"15 rue Guisarde";6;"48.8518595/2.3345205"
"http://www.paris-soiree.fr/discotheque-le_mabillon-280";"Le Mabillon";"164 boulevard St Germain";6;"48.8533114/2.3357607"
"http://www.paris-soiree.fr/discotheque-le_bob_cool_-281";"Le Bob cool";"15 rue Grands Augustin";6;NA
"http://www.paris-soiree.fr/discotheque-au_sai_sai_-282";"Au Saï Saï";"4, rue Sainte Beuve";6;"48.8442373/2.3297618"
"http://www.paris-soiree.fr/discotheque-cavern-283";"Cavern";"21 rue Dauphine";6;"48.8551994/2.3398125"
"http://www.paris-soiree.fr/discotheque-fubar_-284";"Fubar";"5 rue St Sulpice";6;"48.8514857/2.3379094"
"http://www.paris-soiree.fr/discotheque-l_escale-285";"L'Escale";"15 rue Monsieur le Prince";6;"48.8512506/2.3393829"
"http://www.paris-soiree.fr/discotheque-l_urgence_bar_-286";"L'Urgence Bar";"45 rue Monsieur le Prince";6;"48.849561/2.3402116"
"http://www.paris-soiree.fr/discotheque-la_grimace-287";"La Grimace";"60 rue Mazarine";6;"48.8546531/2.3379253"
"http://www.paris-soiree.fr/discotheque-le_purgatoire_-276";"Le Purgatoire";"14 rue Hautefeuille";6;"48.7659739/2.9674444"
"http://www.paris-soiree.fr/discotheque-le_purdey_-274";"Le Purdey";"11 rue Guisarde";6;"48.8518877/2.3345589"
"http://www.paris-soiree.fr/discotheque-l__alcazar-84";"L' Alcazar";"62 rue Mazarine";6;"48.8545266/2.3379845"
"http://www.paris-soiree.fr/discotheque-wagg-85";"Wagg";"62 rue Mazarine";6;"48.8545266/2.3379845"
"http://www.paris-soiree.fr/discotheque-cafe_du_metro-88";"Café du métro";"67 rue de Rennes";6;"48.8514141/2.3311387"
"http://www.paris-soiree.fr/discotheque-cafe_medicis-89";"Café Médicis";"19 rue de vaugirard";6;"48.8489002/2.3340735"
